id,item_id,topics,strong_topic,all_topics
133858,133838,"[0.0199995  0.8199912  0.02000246 0.0200032  0.02000211 0.01999937
 0.01999938 0.02000186 0.01999943 0.02000144]",0.03600175609999999,0.1439982439
125809,125795,"[0.0200006  0.81999016 0.02000046 0.02000303 0.02000335 0.02000046
 0.02000046 0.02000046 0.02000046 0.02000056]",0.03600196609999999,0.1439980339
127934,127916,"[0.02000073 0.8199879  0.02000062 0.02000376 0.02000241 0.02000067
 0.02000062 0.02000138 0.02000062 0.02000124]",0.03600241629999999,0.1439975837
129888,129869,"[0.02000053 0.8199867  0.02000053 0.02000154 0.02000608 0.02000099
 0.02000053 0.02000053 0.02000053 0.020002  ]",0.036002658300000004,0.1439973417
129882,129869,"[0.02000146 0.819986   0.02000069 0.0200046  0.02000347 0.02000093
 0.02000021 0.02000114 0.02000021 0.02000132]",0.036002802699999996,0.1439971973
130766,130751,"[0.02000038 0.02000889 0.02000039 0.020002   0.8199857  0.02000067
 0.02000035 0.0200004  0.02000035 0.02000087]",0.036002859299999995,0.1439971407
137956,137954,"[0.02000159 0.02000354 0.02000132 0.02000162 0.81998456 0.0200022
 0.02000128 0.02000133 0.02000128 0.0200013 ]",0.03600309,0.14399690999999998
130239,130226,"[0.02000071 0.02000787 0.02000049 0.02000425 0.81998354 0.02000099
 0.02000049 0.02000049 0.02000049 0.02000067]",0.0360032911,0.1439967089
137955,137954,"[0.02000094 0.02001222 0.02000069 0.02000391 0.81997854 0.02000088
 0.02000069 0.02000069 0.02000069 0.02000074]",0.036004291499999994,0.14399570849999999
133302,133292,"[0.02000132 0.02001045 0.02000088 0.02000362 0.8199772  0.02000354
 0.02000067 0.02000088 0.02000067 0.0200007 ]",0.0360045538,0.1439954462
134099,134090,"[0.02000318 0.02000554 0.02000021 0.8199766  0.02000528 0.02000587
 0.02000003 0.02000004 0.02000005 0.02000314]",0.03600467599999999,0.14399532399999998
135177,135161,"[0.02000381 0.02000386 0.02000202 0.02000518 0.02000211 0.02000234
 0.02000175 0.02000242 0.02000175 0.8199748 ]",0.036005043599999995,0.14399495639999998
132216,132200,"[0.02000094 0.02001038 0.02000327 0.8199733  0.02000585 0.02000251
 0.02000127 0.02000119 0.02000066 0.02000066]",0.0360053424,0.14399465759999996
126692,126677,"[0.02000229 0.02000601 0.0200012  0.02000978 0.8199717  0.02000428
 0.0200008  0.02000143 0.02000081 0.0200018 ]",0.0360056686,0.1439943314
125764,125753,"[0.02000326 0.02001033 0.02000069 0.02000719 0.8199697  0.02000127
 0.02000058 0.02000111 0.02000058 0.02000533]",0.03600606459999999,0.1439939354
127321,127307,"[0.02000213 0.8199682  0.02000068 0.02000474 0.02000486 0.02000094
 0.02000061 0.02000079 0.02000061 0.02001637]",0.036006353399999996,0.1439936466
